"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://taxisaudiarabia.com/","text/html; charset=utf-8","200","OK","Indexable","","Taxi Service Saudi Arabia — Book Airport Transfer & Umrah Taxi | Fixed Prices 24/7","82","730","Book a taxi in Saudi Arabia — airport transfers, Umrah transport & intercity rides at fixed prices. Licensed drivers, WhatsApp booking 24/7.","140","850","taxi service Saudi Arabia,airport transfer Saudi Arabia,private taxi Saudi Arabia,VIP taxi Saudi Arabia,Saudi airport transfer,book taxi Saudi Arabia,Jeddah airport to Makkah taxi,Makkah to Madinah taxi,Madinah to Makkah taxi,Jeddah to Madinah taxi,Makkah to Jeddah airport taxi,Madinah airport taxi,Riyadh airport taxi,Taif taxi,Dammam taxi,book airport transfer,taxi fare Saudi Arabia,taxi price Saudi Arabia,WhatsApp booking,24/7 taxi service,licensed drivers,fixed price taxi,professional chauffeurs,family taxi,luxury SUV taxi,GMC Yukon,Hyundai Staria,Toyota Hiace,Umrah taxi,Umrah transport,Umrah airport transfer,Makkah Ziyarat taxi,Madinah Ziyarat taxi","660","Get the Best Online Taxi Service in Saudi Arabia","48","Ride Across Riyadh With Confidence","34","Get an Instant Taxi Price Quote","31","","","","","https://taxisaudiarabia.com/","","","","","","220949","31738","1965","410","4.793","71.475","Fairly Easy","8.980","0","0","","747","199","0","100.000","93","49","0","10","6","0","","","","","2ee0d43661c8717f650811b5995394e8","0.153","","","","","1.1","https://taxisaudiarabia.com/","2026-07-17 18:00:21"
"https://taxisaudiarabia.com/_next/static/chunks/4909-1f5c586e3e84e0a5.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","None","https://taxisaudiarabia.com/_next/static/chunks/4909-1f5c586e3e84e0a5.js","2026-07-17 18:00:24"
"https://taxisaudiarabia.com/_next/static/chunks/5174-7b8612d4518f248a.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","None","https://taxisaudiarabia.com/_next/static/chunks/5174-7b8612d4518f248a.js","2026-07-17 18:00:24"
"https://taxisaudiarabia.com/pricing","text/html; charset=utf-8","200","OK","Indexable","","Taxi Fares & Fixed Prices in Saudi Arabia 2026 | Taxi Saudi Arabia","66","577","See fixed taxi fares in Saudi Arabia for 2026 — airport transfers, Umrah routes, and intercity rides by vehicle type. No surge pricing, no hidden fees. Get an instant price for any route.","187","1109","taxi service Saudi Arabia,airport transfer Saudi Arabia,private taxi Saudi Arabia,VIP taxi Saudi Arabia,Saudi airport transfer,book taxi Saudi Arabia,Jeddah airport to Makkah taxi,Makkah to Madinah taxi,Madinah to Makkah taxi,Jeddah to Madinah taxi,Makkah to Jeddah airport taxi,Madinah airport taxi,Riyadh airport taxi,Taif taxi,Dammam taxi,book airport transfer,taxi fare Saudi Arabia,taxi price Saudi Arabia,WhatsApp booking,24/7 taxi service,licensed drivers,fixed price taxi,professional chauffeurs,family taxi,luxury SUV taxi,GMC Yukon,Hyundai Staria,Toyota Hiace,Umrah taxi,Umrah transport,Umrah airport transfer,Makkah Ziyarat taxi,Madinah Ziyarat taxi","660","Taxi Prices in Saudi Arabia — Fixed Fares","41","Dynamic Fare Estimator","22","Service Matrix vs Vehicle Tier","30","index, follow","index, follow","","","https://taxisaudiarabia.com/pricing","","","","","","96945","18958","401","73","5.493","69.191","Normal","6.031","1","0","","202","199","0","100.000","72","46","0","6","5","0","","","","","2edb4ace683abae5f60729e31271676f","0.646","","","","","1.1","https://taxisaudiarabia.com/pricing","2026-07-17 18:00:24"
"https://taxisaudiarabia.com/_next/static/chunks/main-app-b7ac91ae224968d9.js","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","None","https://taxisaudiarabia.com/_next/static/chunks/main-app-b7ac91ae224968d9.js","2026-07-17 18:00:25"
"https://taxisaudiarabia.com/services/madinah-ziyarat","text/html; charset=utf-8","200","OK","Indexable","","Madinah Ziyarat Packages & Taxi Tours | Taxi Saudi Arabia","57","517","Guided Ziyarat tours in Madinah. Visit Quba Mosque, Mount Uhud, and historical Islamic sites with our knowledgeable local drivers.","130","811","taxi service Saudi Arabia,airport transfer Saudi Arabia,private taxi Saudi Arabia,VIP taxi Saudi Arabia,Saudi airport transfer,book taxi Saudi Arabia,Jeddah airport to Makkah taxi,Makkah to Madinah taxi,Madinah to Makkah taxi,Jeddah to Madinah taxi,Makkah to Jeddah airport taxi,Madinah airport taxi,Riyadh airport taxi,Taif taxi,Dammam taxi,book airport transfer,taxi fare Saudi Arabia,taxi price Saudi Arabia,WhatsApp booking,24/7 taxi service,licensed drivers,fixed price taxi,professional chauffeurs,family taxi,luxury SUV taxi,GMC Yukon,Hyundai Staria,Toyota Hiace,Umrah taxi,Umrah transport,Umrah airport transfer,Makkah Ziyarat taxi,Madinah Ziyarat taxi","660","Madinah Ziyarat Taxi Tours","26","Frequently Asked Questions","26","Explore More Taxi Services","26","","","","","https://taxisaudiarabia.com/services/madinah-ziyarat","","","","","","130404","22612","302","60","5.033","65.302","Normal","3.546","1","1","","412","199","0","100.000","94","48","0","6","5","0","","","","","aa1aaf73031be8eb58095a3477a441de","0.671","","","","","1.1","https://taxisaudiarabia.com/services/madinah-ziyarat","2026-07-17 18:00:24"
"https://taxisaudiarabia.com/_next/image?url=%2Flogo-final.png&w=1920&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","None","https://taxisaudiarabia.com/_next/image?url=%2Flogo-final.png&w=1920&q=75","2026-07-17 18:00:25"
"https://taxisaudiarabia.com/_next/image?url=%2Ffleet%2Fmercedes-s-class.webp&w=3840&q=75","","0","Blocked by robots.txt","Non-Indexable","Blocked by robots.txt","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","None","https://taxisaudiarabia.com/_next/image?url=%2Ffleet%2Fmercedes-s-class.webp&w=3840&q=75","2026-07-17 18:00:25"
"https://taxisaudiarabia.com/locations/riyadh","text/html; charset=utf-8","200","OK","Indexable","","Taxi in Riyadh | Airport & Intercity — Taxi Saudi Arabia","56","469","Book a fixed-price taxi in Riyadh, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","154","913","taxi service Saudi Arabia,airport transfer Saudi Arabia,private taxi Saudi Arabia,VIP taxi Saudi Arabia,Saudi airport transfer,book taxi Saudi Arabia,Jeddah airport to Makkah taxi,Makkah to Madinah taxi,Madinah to Makkah taxi,Jeddah to Madinah taxi,Makkah to Jeddah airport taxi,Madinah airport taxi,Riyadh airport taxi,Taif taxi,Dammam taxi,book airport transfer,taxi fare Saudi Arabia,taxi price Saudi Arabia,WhatsApp booking,24/7 taxi service,licensed drivers,fixed price taxi,professional chauffeurs,family taxi,luxury SUV taxi,GMC Yukon,Hyundai Staria,Toyota Hiace,Umrah taxi,Umrah transport,Umrah airport transfer,Makkah Ziyarat taxi,Madinah Ziyarat taxi","660","Taxi Service in Riyadh","22","Popular Routes from/to Riyadh","29","Local Travel Tips","17","index, follow","index, follow","","","https://taxisaudiarabia.com/locations/riyadh","","","","","","152149","25623","603","120","5.025","83.744","Easy","4.419","1","1","","635","199","0","100.000","86","54","0","6","5","0","","","","","d75073dcdde892bff7995e69771b8b05","0.769","","","","","1.1","https://taxisaudiarabia.com/locations/riyadh","2026-07-17 18:00:24"
"https://taxisaudiarabia.com/locations/taif","text/html; charset=utf-8","200","OK","Indexable","","Taxi in Taif | Airport & Intercity — Taxi Saudi Arabia","54","444","Book a fixed-price taxi in Taif, Saudi Arabia — airport transfers, Umrah rides, and 24/7 intercity trips with licensed drivers. No surge, instant quote.","152","895","taxi service Saudi Arabia,airport transfer Saudi Arabia,private taxi Saudi Arabia,VIP taxi Saudi Arabia,Saudi airport transfer,book taxi Saudi Arabia,Jeddah airport to Makkah taxi,Makkah to Madinah taxi,Madinah to Makkah taxi,Jeddah to Madinah taxi,Makkah to Jeddah airport taxi,Madinah airport taxi,Riyadh airport taxi,Taif taxi,Dammam taxi,book airport transfer,taxi fare Saudi Arabia,taxi price Saudi Arabia,WhatsApp booking,24/7 taxi service,licensed drivers,fixed price taxi,professional chauffeurs,family taxi,luxury SUV taxi,GMC Yukon,Hyundai Staria,Toyota Hiace,Umrah taxi,Umrah transport,Umrah airport transfer,Makkah Ziyarat taxi,Madinah Ziyarat taxi","660","Taxi Service in Taif","20","Popular Routes from/to Taif","27","Local Travel Tips","17","index, follow","index, follow","","","https://taxisaudiarabia.com/locations/taif","","","","","","136181","24739","546","95","5.747","92.385","Very Easy","4.400","1","1","","418","199","0","100.000","81","51","0","6","5","0","","","","","c3ec453f090424ba6f692c88870c0774","1.028","","","","","1.1","https://taxisaudiarabia.com/locations/taif","2026-07-17 18:00:24"
